,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,cluster
0,Hyundai i10,Hyundai,i10,9,26099,Dealer,Petrol,Manual,19.81,1086,68.05,5,239000,0
1,Mahindra KUV100,Mahindra,KUV100,2,5000,Individual,Diesel,Manual,25.32,1198,77.0,6,700000,2
3,Maruti Wagon R,Maruti,Wagon R,17,50000,Individual,Petrol,Manual,18.9,998,67.1,5,62000,0
4,Hyundai Creta,Hyundai,Creta,4,19543,Individual,Petrol,Manual,13.0,1591,121.3,5,1100000,0
5,Renault KWID,Renault,KWID,6,45006,Dealer,Petrol,Manual,25.17,799,53.3,5,269000,0
6,Renault KWID,Renault,KWID,2,40000,Individual,Petrol,Manual,25.17,799,53.3,5,325000,0
7,Maruti Swift Dzire,Maruti,Swift Dzire,4,77000,Dealer,Diesel,Manual,26.59,1248,74.0,5,750000,1
8,Honda Civic,Honda,Civic,9,70000,Individual,Petrol,Manual,14.8,1799,130.2,5,500000,0
9,Maruti Swift Dzire,Maruti,Swift Dzire,5,100000,Individual,Diesel,Manual,26.59,1248,74.0,5,450000,1
10,Mahindra Scorpio,Mahindra,Scorpio,8,120000,Individual,Diesel,Manual,14.0,2523,75.0,8,500000,2
11,Volkswagen Vento,Volkswagen,Vento,8,51500,Dealer,Petrol,Automatic,16.93,1197,103.2,5,475000,0
12,Hyundai i10,Hyundai,i10,11,45415,Individual,Petrol,Manual,19.81,1086,68.05,5,195000,0
13,Toyota Innova,Toyota,Innova,4,100000,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1575000,2
14,Maruti Eeco,Maruti,Eeco,3,14000,Individual,CNG,Manual,21.94,1196,61.7,5,375000,1
15,Kia Carnival,Kia,Carnival,1,7000,Dealer,Diesel,Automatic,14.11,2199,197.2,7,3250000,2
16,Audi A6,Audi,A6,6,68000,Dealer,Diesel,Automatic,18.53,1968,187.74,5,2550000,1
17,Mahindra Scorpio,Mahindra,Scorpio,6,80000,Dealer,Diesel,Manual,15.4,2523,75.0,7,700000,2
18,Hyundai Verna,Hyundai,Verna,6,27500,Dealer,Petrol,Manual,17.7,1497,113.42,5,490000,0
19,Maruti Ciaz,Maruti,Ciaz,5,89000,Dealer,Diesel,Manual,28.09,1248,88.5,5,580000,1
20,Hyundai Creta,Hyundai,Creta,4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000,1
21,Mahindra XUV500,Mahindra,XUV500,4,30000,Dealer,Diesel,Manual,16.0,2179,140.0,7,1575000,2
22,BMW 7,BMW,7,11,64000,Dealer,Petrol,Automatic,8.77,4395,402.0,5,1499000,0
23,Hyundai i10,Hyundai,i10,9,30448,Dealer,Petrol,Manual,20.36,1197,78.9,5,288000,0
24,Tata Safari,Tata,Safari,9,72000,Dealer,Diesel,Manual,13.93,2179,138.1,7,450000,2
25,Maruti Ciaz,Maruti,Ciaz,6,48767,Dealer,Diesel,Manual,26.21,1248,88.5,5,681000,1
26,Kia Seltos,Kia,Seltos,1,13000,Dealer,Petrol,Automatic,16.8,1497,113.4,5,1650000,0
27,Maruti Swift Dzire,Maruti,Swift Dzire,3,10000,Individual,Diesel,Manual,28.4,1248,74.02,5,765000,1
28,Maruti Swift Dzire,Maruti,Swift Dzire,3,20000,Individual,Diesel,Manual,28.4,1248,74.02,5,710000,1
29,Jaguar XF,Jaguar,XF,5,20837,Dealer,Diesel,Automatic,19.33,1999,177.0,5,3450000,1
30,Audi A6,Audi,A6,5,35000,Dealer,Diesel,Automatic,18.53,1968,187.74,5,3125000,1
31,Honda City,Honda,City,6,120000,Individual,Petrol,Automatic,18.0,1497,117.3,5,660000,0
32,Maruti Ignis,Maruti,Ignis,3,20000,Individual,Petrol,Manual,20.89,1197,81.8,5,570000,0
33,Maruti Wagon R,Maruti,Wagon R,13,100000,Individual,Petrol,Manual,18.9,1061,67.0,5,150000,0
34,Maruti Baleno,Maruti,Baleno,5,44000,Dealer,Petrol,Manual,21.01,1197,81.8,5,530000,0
35,BMW Z4,BMW,Z4,6,27000,Dealer,Petrol,Automatic,10.37,2979,301.72,2,3999000,2
36,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,10,160000,Individual,Diesel,Automatic,14.84,2143,170.0,5,700000,1
37,Honda WR-V,Honda,WR-V,2,50000,Individual,Diesel,Manual,25.5,1498,98.6,5,950000,1
38,Maruti Swift,Maruti,Swift,3,16000,Individual,Petrol,Manual,22.0,1197,81.8,5,700000,0
39,Mahindra Bolero,Mahindra,Bolero,4,73435,Dealer,Diesel,Manual,15.96,2523,62.1,7,675000,2
40,Maruti Wagon R,Maruti,Wagon R,10,78562,Dealer,Petrol,Manual,18.9,998,67.1,5,260000,0
41,Honda City,Honda,City,10,17000,Individual,Petrol,Automatic,16.8,1497,118.0,5,400000,0
42,Hyundai Verna,Hyundai,Verna,9,76800,Dealer,Diesel,Manual,22.32,1582,126.3,5,450000,1
