,brand,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,cluster
0,3,-0.6551724137931034,1,1,1,1,-0.13610431947840262,-0.5060998151571166,-0.42487684729064035,0,2,1
1,8,-0.4482758620689655,1,1,1,0,-0.7514262428687857,0.024768946395563818,-0.3300492610837439,2,2,2
2,0,-0.5862068965517242,1,1,0,0,0.11980440097799505,-0.9977818853974122,-0.926929392446634,0,1,0
3,0,-0.3793103448275862,1,0,0,0,-0.19315403422982902,-0.8484288354898336,-0.7643678160919541,0,1,0
4,1,-0.5862068965517242,1,0,1,0,0.10350448247758748,-0.5541589648798522,-0.5867816091954023,0,2,3
5,0,-0.3793103448275862,1,1,1,0,0.5810920945395273,-0.6635859519408502,-0.7077175697865353,0,2,3
6,0,-0.5862068965517242,1,1,0,1,-0.13936430317848414,-0.7012939001848428,-0.6436781609195403,0,2,1
7,1,-0.5862068965517242,1,1,1,0,0.05134474327628347,-0.5541589648798522,-0.5763546798029557,0,1,0
8,3,-0.9310344827586207,0,0,0,0,0.14180929095354533,-0.8476894639556377,-0.7651888341543515,0,2,1
9,13,-0.4482758620689655,1,1,1,1,-0.38467807660961695,-0.1312384473197783,-0.10418719211822669,0,2,2
10,1,-0.8620689655172413,0,1,0,1,-0.07905460472697623,-0.7833641404805914,-0.7564039408866996,0,2,1
11,10,-0.7241379310344828,1,1,1,0,0.4898125509372453,-0.8121996303142329,-0.748768472906404,0,1,3
12,0,-0.5862068965517242,0,0,0,0,0.11980440097799505,-0.9977818853974122,-0.926929392446634,0,1,0
13,6,-0.31034482758620685,2,0,0,0,-0.5273023634881826,-0.2561922365988909,-0.24630541871921197,0,1,0
14,1,-0.5172413793103449,1,1,0,0,-0.19315403422982902,-0.7012939001848428,-0.6431855500821019,0,1,0
15,0,-0.4482758620689655,1,1,1,0,0.1735941320293397,-0.6635859519408502,-0.7077175697865353,0,1,0
16,6,-0.6551724137931034,0,0,0,0,-0.26650366748166254,-0.7005545286506469,-0.603448275862069,0,2,1
17,2,-0.8620689655172413,0,1,1,0,0.12224938875305624,-0.478743068391867,-0.5058292282430213,0,2,3
18,0,-0.3793103448275862,1,0,0,0,-0.028524857375713086,-0.8484288354898336,-0.7643678160919541,0,1,0
19,8,-0.7241379310344828,1,1,1,0,-0.38467807660961695,0.2606284658040665,-0.45320197044334976,3,2,2
20,0,-0.7931034482758621,0,1,0,1,0.010594947025264645,-0.7012939001848428,-0.6330049261083744,0,2,1
21,1,-0.31034482758620685,1,1,1,0,0.05134474327628347,-0.5541589648798522,-0.5763546798029557,0,2,3
22,10,-0.7241379310344828,1,1,1,0,-0.29910350448247747,0.024768946395563818,-0.052052545155993224,1,2,2
23,6,-0.7241379310344828,1,1,0,0,-0.2828035859820701,-0.4794824399260629,-0.352216748768473,0,2,1
24,0,-0.6551724137931034,1,0,0,1,-0.061939690301548334,-0.8484288354898336,-0.7651888341543515,0,1,0
25,0,-0.7241379310344828,1,1,0,0,-0.004889975550122161,-0.7012939001848428,-0.6436781609195403,0,2,1
26,1,-0.5862068965517242,0,0,0,0,-0.19315403422982902,-0.7012939001848428,-0.6420361247947455,0,2,1
27,0,-0.31034482758620685,1,0,0,0,-0.028524857375713086,-0.8484288354898336,-0.7643678160919541,0,1,0
28,0,-0.7931034482758621,0,1,0,0,0.059494702526487364,-0.7012939001848428,-0.6436781609195403,0,2,1
29,8,-0.6551724137931034,1,0,1,0,-0.3887530562347188,-0.4824399260628467,-0.7405582922824302,1,2,3
30,1,-0.7241379310344828,0,1,0,0,-0.4873675631621843,-0.4099815157116451,-0.319376026272578,0,2,1
31,0,-0.5172413793103449,2,0,1,0,0.1735941320293397,-0.6635859519408502,-0.7077175697865353,0,1,0
32,10,-0.7931034482758621,1,0,0,0,-0.07905460472697623,-0.699815157116451,-0.625615763546798,0,1,1
33,7,-0.7241379310344828,1,1,0,1,-0.17196414017929906,0.2524953789279112,0.44581280788177335,0,2,2
34,10,-0.3793103448275862,1,0,1,0,-0.5982070089649552,0.024768946395563818,-0.18201970443349746,1,1,2
35,0,-0.034482758620689724,1,0,0,0,-0.3235533822330887,-0.8018484288354898,-0.7898193760262726,0,0,0
36,6,-0.7241379310344828,0,1,0,0,-0.2828035859820701,-0.4794824399260629,-0.352216748768473,0,2,1
37,0,-0.5862068965517242,1,1,0,0,0.059494702526487364,-0.7012939001848428,-0.6436781609195403,0,2,1
38,9,-0.7241379310344828,1,1,0,0,0.035044824775876116,-0.8476894639556377,-0.7647783251231528,0,1,0
39,0,-0.7931034482758621,1,0,1,0,0.4987775061124693,-0.6635859519408502,-0.7077175697865353,0,2,3
40,1,-0.1724137931034483,1,0,0,0,-0.07416462917685429,-0.7012939001848428,-0.6674876847290641,0,0,0
41,7,-0.24137931034482762,2,1,1,0,-0.7962510187449063,0.6184842883548982,0.08866995073891637,1,2,2
42,0,-0.7241379310344828,1,1,1,0,0.24694376528117368,-0.6635859519408502,-0.5886699507389163,0,2,3
43,8,-0.5172413793103449,1,0,1,0,-0.38467807660961695,0.2606284658040665,-0.45320197044334976,3,2,2
44,1,-0.3793103448275862,1,1,0,0,-0.34718826405867964,-0.4099815157116451,-0.319376026272578,0,1,0
45,5,-0.6551724137931034,1,1,0,0,-0.39119804400978,-0.7005545286506469,-0.7077175697865353,0,2,1
46,8,-0.7931034482758621,1,0,1,0,-0.3235533822330887,-0.4794824399260629,-0.32183908045977017,2,2,2
47,1,-0.8620689655172413,0,0,0,0,-0.21760391198044005,-0.7012939001848428,-0.6431855500821019,0,2,1
48,8,-0.9310344827586207,1,0,1,0,-0.022004889975550057,-0.478743068391867,-0.6998357963875206,1,2,3
49,0,-0.5862068965517242,1,1,2,0,-0.30725346373268136,-0.5711645101663585,-0.6546798029556651,1,2,3
50,8,-0.7931034482758621,1,1,1,0,-0.38467807660961695,0.2606284658040665,-0.45320197044334976,3,2,2
51,0,-0.5862068965517242,0,1,0,0,0.04237978810105947,-0.8484288354898336,-0.7647783251231528,0,1,0
52,5,-0.7931034482758621,1,1,0,0,-0.20293398533007334,-0.8476894639556377,-0.6995073891625616,0,2,1
53,5,-0.5862068965517242,1,1,1,0,-0.09209453952730229,-0.478743068391867,-0.5886699507389163,0,2,3
54,6,-0.6551724137931034,1,1,1,0,0.49144254278728594,-0.478743068391867,-0.5057471264367817,0,2,3
55,1,-0.8620689655172413,0,0,0,0,-0.07905460472697623,-0.7833641404805914,-0.7569786535303777,0,2,1
56,0,-0.7931034482758621,0,0,1,0,0.4987775061124693,-0.6635859519408502,-0.7077175697865353,0,2,3
57,6,-0.9310344827586207,0,1,0,1,-0.3887530562347188,-0.2561922365988909,-0.17027914614121498,0,2,1
58,0,-0.24137931034482762,1,1,0,0,-0.30725346373268136,-0.6266173752310537,-0.6108374384236454,0,1,0
59,8,-0.7931034482758621,1,0,1,0,-0.5028524857375714,0.024768946395563818,-0.060180623973727476,1,2,2
60,0,-0.7241379310344828,1,0,0,0,0.010594947025264645,-0.7012939001848428,-0.6330049261083744,0,2,1
61,19,-0.3793103448275862,2,0,1,1,-0.771801140994295,0.6266173752310538,0.6683087027914614,1,2,2
62,0,-0.5172413793103449,1,1,0,0,0.04237978810105947,-0.8484288354898336,-0.7647783251231528,0,1,0
63,0,-0.6551724137931034,1,1,0,0,0.059494702526487364,-0.7012939001848428,-0.6436781609195403,0,2,1
64,0,-0.3793103448275862,1,1,0,0,0.018744906275468542,-0.7012939001848428,-0.6436781609195403,0,1,0
65,0,-0.4482758620689655,2,0,1,0,0.1328443357783209,-0.6635859519408502,-0.7077175697865353,0,2,0
66,22,-0.8620689655172413,0,1,0,0,-0.4295028524857376,-0.5748613678373382,-0.0016420361247946325,0,2,2
67,1,-0.5862068965517242,1,1,1,0,-0.13039934800325992,-0.4166358595194084,-0.2791461412151066,0,2,3
68,1,-0.7931034482758621,0,0,0,0,-0.19315403422982902,-0.7012939001848428,-0.6431855500821019,0,2,1
69,0,-0.7931034482758621,0,1,2,0,-0.30725346373268136,-0.5711645101663585,-0.6546798029556651,1,2,3
70,7,-0.10344827586206895,2,1,1,0,-0.6903015484922574,0.2576709796672827,-0.4778325123152709,1,2,2
71,5,-0.7241379310344828,1,0,1,0,-0.09209453952730229,-0.478743068391867,-0.5927750410509032,0,2,3
72,8,-0.4482758620689655,1,1,1,0,-0.38467807660961695,0.2606284658040665,-0.45320197044334976,1,2,2
73,0,-0.31034482758620685,1,1,0,0,-0.4213528932355337,-0.7012939001848428,-0.6174055829228243,0,1,0
74,6,-0.4482758620689655,1,1,0,0,-0.3480032599837002,-0.4794824399260629,-0.3464696223316913,0,2,1
75,6,-0.8620689655172413,0,1,0,1,-0.25835370823145887,-0.699815157116451,-0.5870279146141215,0,2,1
76,1,-0.7931034482758621,1,0,0,0,-0.21760391198044005,-0.7012939001848428,-0.643431855500821,0,2,1
77,5,-0.7241379310344828,0,1,0,1,-0.33088834555827207,-0.7012939001848428,-0.46469622331691307,0,2,1
78,7,-0.3793103448275862,1,1,1,0,-0.7106764466177669,0.6184842883548982,0.06814449917898191,1,2,2
79,1,-0.7241379310344828,1,0,1,1,0.059494702526487364,-0.4166358595194084,-0.2791461412151066,0,2,3
80,10,-0.8620689655172413,0,1,1,0,-0.3480032599837002,-0.14011090573012952,-0.18144499178981932,0,2,2
81,12,-0.31034482758620685,1,1,1,1,-0.6577017114914427,-0.11127541589648793,0.08045977011494254,0,2,2
82,0,-0.7241379310344828,1,0,0,1,0.14914425427872868,-0.8484288354898336,-0.7648604269293924,0,1,1
83,6,-0.6551724137931034,1,1,1,0,0.38549307253463727,-0.478743068391867,-0.5057471264367817,0,2,3
84,5,-0.3793103448275862,1,1,1,0,0.06519967400163007,-0.699815157116451,-0.7085385878489326,0,1,0
85,2,-0.6551724137931034,2,0,1,0,0.12224938875305624,-0.478743068391867,-0.5058292282430213,0,2,3
86,8,-0.24137931034482762,2,0,1,0,-0.7514262428687857,0.024768946395563818,-0.3300492610837439,2,1,2
87,0,-0.5862068965517242,0,0,0,0,0.21841890790546037,-0.8484288354898336,-0.7647783251231528,0,1,0
88,1,-0.8620689655172413,0,0,0,0,-0.24449877750611249,-0.8484288354898336,-0.3435960591133006,0,2,1
89,10,-0.9310344827586207,0,0,0,0,-0.3480032599837002,-0.7005545286506469,-0.4244663382594417,0,2,1
90,5,-0.5172413793103449,1,1,1,0,0.08149959250203742,-0.478743068391867,-0.4236453201970444,0,1,0
91,1,-0.1724137931034483,1,1,0,1,-0.16870415647921777,-0.7012939001848428,-0.6584564860426929,0,1,0
92,7,-0.31034482758620685,1,1,1,0,-0.6903015484922574,0.2576709796672827,-0.4778325123152709,2,2,2
93,1,-0.7241379310344828,1,1,1,0,0.22249388753056243,-0.7094269870609982,-0.7079638752052545,0,2,3
94,1,-0.3793103448275862,0,1,0,0,-0.07416462917685429,-0.7012939001848428,-0.6674876847290641,0,1,0
95,6,-0.1724137931034483,1,1,0,0,-0.3480032599837002,-0.4794824399260629,-0.3464696223316913,0,1,0
96,1,-0.6551724137931034,1,1,0,0,-0.11898940505297495,-0.7833641404805914,-0.7565681444991791,0,2,1
97,6,-0.24137931034482762,1,1,0,0,-0.3480032599837002,-0.4794824399260629,-0.3464696223316913,0,1,0
98,10,-0.7931034482758621,0,1,0,0,0.20945395273023637,-0.699815157116451,-0.625615763546798,0,2,1
99,0,-0.8620689655172413,0,1,0,0,-0.021189894050529734,-0.7012939001848428,-0.6436781609195403,0,2,1
100,1,-0.6551724137931034,1,0,1,0,-0.13039934800325992,-0.4166358595194084,-0.2791461412151066,0,2,3
101,0,-0.7931034482758621,0,0,0,0,0.059494702526487364,-0.7012939001848428,-0.6436781609195403,0,2,1
102,1,-0.5862068965517242,2,0,1,1,-0.34718826405867964,-0.4166358595194084,-0.2791461412151066,0,2,2
103,1,-0.6551724137931034,0,1,0,0,-0.21760391198044005,-0.7012939001848428,-0.643431855500821,0,2,1
104,10,-0.7241379310344828,1,1,0,0,0.20945395273023637,-0.699815157116451,-0.625615763546798,0,2,1
105,1,-0.1724137931034483,1,0,0,0,-0.6006519967400163,-0.4040665434380777,-0.46798029556650245,0,1,0
106,1,-0.3793103448275862,1,1,1,0,0.08557457212713926,-0.4166358595194084,-0.2781609195402299,0,2,3
107,8,-0.4482758620689655,1,1,1,0,-0.38467807660961695,0.2606284658040665,-0.45320197044334976,1,2,2
108,0,-0.7241379310344828,1,0,1,0,0.3202933985330074,-0.6635859519408502,-0.7077175697865353,0,2,3
109,1,-0.4482758620689655,1,0,1,0,0.05134474327628347,-0.5541589648798522,-0.5865353037766831,0,1,0
110,4,-0.3793103448275862,1,1,1,1,-0.9185004074979626,0.001848428835489857,0.08045977011494254,0,2,2
111,0,-0.24137931034482762,2,0,0,0,-0.19315403422982902,-0.8484288354898336,-0.7643678160919541,0,1,0
112,3,-0.7931034482758621,1,1,0,0,0.14180929095354533,-0.8476894639556377,-0.7651888341543515,0,1,1
113,1,-0.5172413793103449,1,1,1,0,0.22249388753056243,-0.7582255083179298,-0.7405582922824302,0,2,3
114,12,-0.5172413793103449,1,1,1,1,-0.19478402607986967,-0.11127541589648793,0.1954022988505748,0,2,2
115,1,-0.3793103448275862,2,0,1,0,0.05134474327628347,-0.5541589648798522,-0.5763546798029557,0,1,0
116,7,-0.8620689655172413,0,1,1,1,-0.8076609616951916,0.4506469500924215,0.09277504105090317,1,2,2
117,10,-0.8620689655172413,0,1,1,0,0.4898125509372453,-0.8121996303142329,-0.748768472906404,0,2,3
118,0,-0.7241379310344828,1,1,1,0,0.2648736756316217,-0.6635859519408502,-0.5886699507389163,1,2,3
119,3,-0.5862068965517242,1,0,0,0,0.31784841075794645,-0.9955637707948244,-0.8776683087027914,0,1,0
120,18,-0.31034482758620685,1,0,0,1,-0.9755501222493888,0.4624768946395563,0.2701149425287357,0,2,2
121,18,-0.6551724137931034,1,1,1,1,0.0317848410757946,-0.478743068391867,-0.4653530377668309,0,2,2
122,1,-0.7931034482758621,1,1,0,0,-0.21760391198044005,-0.7012939001848428,-0.643431855500821,0,2,1
123,0,-0.5862068965517242,1,1,1,0,0.43357783211083945,-0.6635859519408502,-0.7077175697865353,0,2,3
124,0,-0.8620689655172413,0,1,1,0,0.24694376528117368,-0.6635859519408502,-0.5886699507389163,0,2,3
125,1,-0.5862068965517242,1,1,0,0,-0.22575387123064394,-0.7012939001848428,-0.6350574712643678,0,2,1
126,6,-0.5862068965517242,1,1,0,0,-0.20945395273023637,-0.699815157116451,-0.5870279146141215,0,2,1
127,10,-0.7931034482758621,0,0,0,0,-0.3480032599837002,-0.7005545286506469,-0.4244663382594417,0,2,1
128,0,-0.24137931034482762,1,0,3,0,0.4017929910350446,-0.8484288354898336,-0.8374384236453203,0,1,3
129,0,-0.5862068965517242,1,1,0,0,-0.044009779951100336,-0.5711645101663585,-0.5673234811165846,0,2,1
130,0,-0.7241379310344828,1,1,1,0,-0.16055419722901387,-0.6635859519408502,-0.7085385878489326,0,2,3
131,8,-0.7241379310344828,1,1,1,0,-0.4295028524857376,0.024768946395563818,-0.1658456486042692,1,2,2
132,2,-0.4482758620689655,1,1,1,0,0.11654441727791354,-0.478743068391867,-0.5776683087027915,0,2,3
133,1,-0.5862068965517242,2,0,1,0,0.10350448247758748,-0.5541589648798522,-0.5867816091954023,0,2,3
