,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,cluster
0,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,7,87360,Dealer,Diesel,Automatic,14.84,2143,170.0,5,1165000,0
1,BMW 7,BMW,7,11,71000,Dealer,Diesel,Automatic,16.46,2993,258.0,5,1950000,0
2,Honda City,Honda,City,7,66852,Dealer,Diesel,Manual,25.1,1498,98.6,5,625000,0
3,Hyundai i20,Hyundai,i20,3,38000,Dealer,Petrol,Manual,18.6,1197,81.86,5,650000,0
4,Hyundai Venue,Hyundai,Venue,2,21000,Dealer,Petrol,Automatic,18.15,998,118.35,5,1199000,0
5,Hyundai i20,Hyundai,i20,3,20000,Individual,Petrol,Manual,18.6,1197,81.83,5,598000,1
6,Maruti Wagon R,Maruti,Wagon R,3,3944,Trustmark Dealer,Petrol,Automatic,20.51,998,67.0,5,485000,0
7,Maruti Baleno,Maruti,Baleno,4,21000,Dealer,Petrol,Automatic,21.4,1197,83.1,5,745000,0
8,Renault KWID,Renault,KWID,1,6000,Individual,Petrol,Manual,22.3,799,53.26,5,450000,1
9,Volkswagen Polo,Volkswagen,Polo,6,39000,Dealer,Petrol,Automatic,17.21,1197,103.6,5,650000,0
10,Maruti Alto,Maruti,Alto,16,5000,Individual,Petrol,Manual,19.7,796,46.3,5,95000,1
11,Mercedes-Benz CLS,Mercedes-Benz,CLS,8,52000,Dealer,Diesel,Automatic,19.4,2143,204.0,4,1200000,2
12,Hyundai Santro,Hyundai,Santro,13,38500,Dealer,Petrol,Manual,17.92,1086,62.1,5,129000,0
13,Maruti Alto,Maruti,Alto,3,25000,Individual,Petrol,Manual,24.7,796,47.3,5,255000,1
14,BMW 7,BMW,7,6,60000,Dealer,Diesel,Automatic,14.49,2993,258.0,5,3900000,0
15,Hyundai i10,Hyundai,i10,13,92000,Dealer,Petrol,Manual,19.81,1086,68.05,5,190000,0
16,Hyundai Verna,Hyundai,Verna,1,5000,Individual,Petrol,Manual,17.7,1497,113.42,5,816000,1
17,Hyundai Creta,Hyundai,Creta,6,148000,Individual,Diesel,Manual,19.67,1582,126.2,5,950000,0
